Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00259852781676825,-0.000108633505370659,0.243963316955253,0,0,0,542.794022388696,152.206123594408,0.00141695540116067,-0.47512397960596,376.537120016155,-0.000177766194086549,401.057098989688,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/base_link.STL,,cabin-1,Coordinate System33,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
robotbase,0.000163774884270218,7.18500261359667E-06,0.0185202338248598,0,0,0,0.886559900185495,0.00147062371484559,-6.19027004871976E-08,-2.45101281001735E-07,0.00148407870110409,1.02134461711287E-07,0.00274212007770465,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/robotbase.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/robotbase.STL,,Base-1,Origin_robotbaseJ,,robotbaseJ,fixed,-0.19516,-0.37988,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link2,6.49180704758723E-05,0.0119758615957154,0.0783201526670301,0,0,0,3.7182094054082,0.0142657255909075,-3.92019568605053E-06,-6.80126429261386E-06,0.0135481181792382,-0.00109592362499777,0.0127628102876403,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link2.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link2.STL,,Motor1-1,Coordinate System25,Axis18,link2J,revolute,0,0,0.038,0,0,0,robotbase,0,0,-1,100,100,-3.14,3.14,,,,,,,,
link3,-0.224189634386508,0.102885295568185,0.170827294649527,0,0,0,10.4980213017982,0.0410974432372894,0.0344297525813261,0.000777221335565158,0.100745799145629,-0.00022332076169959,0.114837270463866,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link3.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link3.STL,,Motor2-1;Link1-1;Motor3-1,Coordinate System26,Axis17,link3J,revolute,0,0,0.08999999999999,1.5707963267949,0,3.13655830335947,link2,0,0,1,100,100,-3.14,3.14,,,,,,,,
link4,-0.203062408493768,0.0575689453668089,0.152436130526963,0,0,0,5.41826900095919,0.0274008602934793,0.0090123365280379,0.02347450798951,0.05688974884169,-0.00675885044594672,0.041941400538361,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link4.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link4.STL,,Motor4-1;Link2-1;Motor5-1,Coordinate System27,Axis19,link4J,revolute,-0.523314470651751,0.329959873083367,0.0798227083269905,0.347074183790574,0,-1.5707963267949,link3,0.599703956798518,0,0.800221946837376,100,100,-3.14,3.14,,,,,,,,
link5,-0.00935757510871427,-0.000463711111558351,0.108432060629465,0,0,0,0.921529845623198,0.00112283111939906,-1.35455417019886E-05,0.000110171758385526,0.00139920024136962,5.37884270265831E-06,0.00130723220032857,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link5.STL,,Motor6-1,Coordinate System28,Axis21,link5J,revolute,-0.44586758628649,0.127581802357824,0.334142992154841,2.61866703692973,0.624355966000279,-0.278695793511431,link4,0,0,-1,100,100,-3.14,3.14,,,,,,,,
link6,0.00226074967095277,-0.00909213102532896,0.108431334897546,0,0,0,0.921540940780998,0.00138380959660478,6.48647334610227E-05,-2.65392524950653E-05,0.00113826187143618,0.000107065860656383,0.00130718444270685,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link6.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/link6.STL,,Motor7-1,Coordinate System29,Axis24,link6J,revolute,0,0,0.1157,-1.5707963267949,1.44784169852015,1.61998121806048,link5,0,0,-1,100,100,-3.14,3.14,,,,,,,,
endeffector,0.0295077528990437,0.02795212326917,0.136209501010878,0,0,0,1.77865754973489,0.00325207080929741,-0.00115738579005855,2.09361350336189E-05,0.00341536199740799,2.08815165448957E-05,0.00468328312880869,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/endeffector.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/endeffector.STL,,Bracket-1;vaccum-1,Coordinate System30,Axis25,endeffectorJ,revolute,0,0,0.115699999999999,1.5707963267949,-0.670331391505515,0.243361241927746,link6,0,0,-1,100,100,-3.14,3.14,,,,,,,,
ef_camera,0.000129274554616476,-0.00118744042434243,-0.019783086630657,0,0,0,0.134565788980412,3.22341870971926E-05,-5.47114916873785E-06,-1.36225221192914E-08,8.18933279624449E-05,1.25128518090116E-07,8.57884568720322E-05,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/ef_camera.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/ef_camera.STL,,ef_camera-1,Coordinate System31,Axis25,ef_cameraJ,fixed,-0.0531319379241199,0.0839300135376235,0.142200000000004,-1.57079632679489,1.46235516195487,-0.813969049196102,endeffector,0,0,0,,,,,,,,,,,,
lidar,2.77555756156289E-17,0.0705648628155633,0,0,0,0,2.35521467021784,0.00709869872470032,2.39765118804897E-35,-4.57624929680528E-35,0.00476888364897701,-2.47125860778114E-19,0.00709869872470032,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/lidar.STL,0.388235294117647,0.4,0.858823529411765,0.3,0,0,0,0,0,0,package://ADSAssemb_v11/meshes/lidar.STL,,Lidarrobot-1,Origin_lidarJ,Axis_lidarJ,lidarJ,fixed,0.909835358922286,-0.000112443156507186,0.895,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
