Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0160407129415905,4.76225956412557E-09,0.0140486146722937,0,0,0,0.410357068977205,0.000418788756531432,-9.28467394687386E-11,-3.59143232411381E-05,0.00127199341013218,3.62694935706805E-11,0.00130699187151445,0,0,0,0,0,0,package://pr2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/base_link.STL,,robot cabin-1,Coordinate System8,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frontleftaxle,-3.6708758179016E-08,0.00160501797411967,-0.0153578857101685,0,0,0,0.00221047465481593,1.59436629612062E-07,-4.68507438388118E-13,-1.89978471337968E-14,1.44013488445306E-07,2.25239906987313E-08,3.27372262362586E-08,0,0,0,0,0,0,package://pr2/meshes/frontleftaxle.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/frontleftaxle.STL,,axle_rod-1,Coordinate System12,Axis_frontleftaxleJ,frontleftaxleJ,continuous,0.055,0.018,-0.007,0,0,0,base_link,0,0,1,10,100,-3.14,3.14,,,,,,,,
frontleftwheel,1.37993414668636E-06,-0.00571002744944018,-8.47958521552061E-07,0,0,0,0.00752041906364689,6.54074623348507E-07,-2.96932659672287E-11,4.66413291760755E-11,1.11415061388056E-06,1.30363668348103E-11,6.54114671458885E-07,0,0,0,0,0,0,package://pr2/meshes/frontleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/frontleftwheel.STL,,omni_wheel_drive_tire-1,Coordinate System11,Axis_frontleftwheelJ,frontleftwheelJ,continuous,0,0.02235,-0.023,0,0,0,frontleftaxle,0,1,0,100,1000,,,,,,,,,,
frontrightaxle,3.67087581928938E-08,-0.00160501797411966,-0.0153578857101685,0,0,0,0.00221047465481593,1.59436629612063E-07,-4.68507438382914E-13,1.89978471491337E-14,1.44013488445306E-07,-2.25239906987314E-08,3.27372262362587E-08,0,0,0,0,0,0,package://pr2/meshes/frontrightaxle.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/frontrightaxle.STL,,axle_rod-3,Coordinate System13,Axis_frontrightaxleJ,frontrightaxleJ,continuous,0.055,-0.018,-0.007,0,0,0,base_link,0,0,1,10,100,-3.14,3.14,,,,,,,,
frontrightwheel,1.61562917457697E-06,0.00571002744944018,1.13992428586729E-07,0,0,0,0.0075204190636469,6.54044943303502E-07,3.23564733412199E-11,-1.02897423390187E-11,1.11415061388056E-06,-2.16691877317806E-12,6.54144351503891E-07,0,0,0,0,0,0,package://pr2/meshes/frontrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/frontrightwheel.STL,,omni_wheel_drive_tire-3,Coordinate System18,Axis_frontrightwheelJ,frontrightwheelJ,continuous,0,-0.02235,-0.023,0,0,0,frontrightaxle,0,1,0,101,1000,,,,,,,,,,
rearrightaxle,3.67087581859549E-08,-0.00160501797411966,-0.0153578857101685,0,0,0,0.00221047465481593,1.59436629612063E-07,-4.68507438398918E-13,1.8997847129938E-14,1.44013488445306E-07,-2.25239906987314E-08,3.27372262362587E-08,0,0,0,0,0,0,package://pr2/meshes/rearrightaxle.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/rearrightaxle.STL,,axle_rod-4,Coordinate System16,Axis_rearrightaxleJ,rearrightaxleJ,continuous,-0.04,-0.018,-0.007,0,0,0,base_link,0,0,1,10,100,-3.14,3.14,,,,,,,,
rearrightwheel,-2.2334695384818E-08,0.00571002744944018,1.61949160692315E-06,0,0,0,0.00752041906364689,6.54145196148152E-07,3.99542524547272E-12,4.60443346110655E-12,1.11415061388056E-06,3.21818812556904E-11,6.54044098659241E-07,0,0,0,0,0,0,package://pr2/meshes/rearrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/rearrightwheel.STL,,omni_wheel_drive_tire-2,Coordinate System17,Axis_rearrightwheelJ,rearrightwheelJ,continuous,0,-0.02235,-0.023,0,0,0,rearrightaxle,0,1,0,100,1000,,,,,,,,,,
rearleftaxle,-3.67087581859549E-08,0.00160501797411966,-0.0153578857101685,0,0,0,0.00221047465481593,1.59436629612063E-07,-4.68507438391657E-13,-1.89978471373407E-14,1.44013488445306E-07,2.25239906987313E-08,3.27372262362587E-08,0,0,0,0,0,0,package://pr2/meshes/rearleftaxle.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/rearleftaxle.STL,,axle_rod-2,Coordinate System14,Axis_rearleftaxleJ,rearleftaxleJ,continuous,-0.04,0.018,-0.007,0,0,0,base_link,0,0,1,10,1000,-3.14,3.14,,,,,,,,
rearleftwheel,1.37993414670717E-06,-0.00571002744944019,-8.47958521545122E-07,0,0,0,0.00752041906364689,6.54074623348507E-07,-2.96932659672423E-11,4.6641329176028E-11,1.11415061388056E-06,1.30363668348073E-11,6.54114671458885E-07,0,0,0,0,0,0,package://pr2/meshes/rearleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/rearleftwheel.STL,,omni_wheel_drive_tire-4,Coordinate System15,Axis_rearleftwheelJ,rearleftwheelJ,continuous,0,0.02235,-0.023,0,0,0,rearleftaxle,0,1,0,100,1000,,,,,,,,,,
lidar,0,0,-0.00660138330917023,0,0,0,0.0013297002274864,2.79264907781175E-08,-1.95768641709798E-40,4.69237345562297E-25,2.79264907781175E-08,1.15022307757499E-40,2.38900096632939E-08,0,0,0,0,0,0,package://pr2/meshes/lidar.STL,1,1,1,1,0,0,0,0,0,0,package://pr2/meshes/lidar.STL,,lidar-1,Coordinate System10,Axis_lidarJ,lidarJ,fixed,0.0605,0,0.0692,0,0,0,base_link,0,0,0,,,,,,,,,,,,
