Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00267896883161542,-9.61752241291636E-05,0.261954730030994,0,0,0,12.9156269098643,3.04196814982223,0.000208508466977494,-0.0119266922585532,8.81574617692616,-9.28591580220543E-05,9.01306119890388,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/base_link.STL,,cabin-1,Coordinate System33,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
robotbase,0.00087337931461412,-1.74942310223747E-05,0.0175655883659414,0,0,0,0.0805247204958663,0.000180322819963714,1.24613589460169E-08,-2.54790200977994E-08,0.0001838664383582,-1.33132482630703E-08,0.000325091649240371,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/robotbase.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/robotbase.STL,,Base-1,Origin_robotbaseJ,Axis_robotbaseJ,robotbaseJ,fixed,-0.195164641077713,-0.379884698907027,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link2,6.49180704758723E-05,0.0119758615957154,0.0783201526670301,0,0,0,3.7182094054082,0.0142657255909075,-3.92019568605019E-06,-6.80126429261393E-06,0.0135481181792382,-0.00109592362499777,0.0127628102876403,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link2.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link2.STL,,Motor1-1,Coordinate System25,Axis18,link2J,revolute,0,0,0.038,0,0,0,robotbase,0,0,-1,100,100,-3.14,3.14,,,,,,,,
link3,-0.172106891461319,0.0802101174901835,0.16641396590184,0,0,0,5.66483274765619,0.0191701928641769,0.0028813792442428,0.000777239712019246,0.0236296511689338,-0.000223329307627467,0.0234019280653295,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link3.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link3.STL,,Motor2-1;Link1-1;Motor3-1,Coordinate System26,Axis17,link3J,revolute,0,0,0.08999999999999,1.5707963267949,0,3.13655830335947,link2,0,0,1,100,100,-3.14,3.14,,,,,,,,
link4,-0.179097550529596,0.0501407464908787,0.134749751070184,0,0,0,2.62363559938116,0.00606738890018259,0.000809741423274313,0.00199151402947231,0.00923730599666288,-0.000611645520784777,0.00804167132883016,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link4.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link4.STL,,Motor4-1;Link2-1;Motor5-1,Coordinate System27,Axis19,link4J,revolute,-0.523314470651751,0.329959873083367,0.0798227083269905,0.347074183790574,0,-1.5707963267949,link3,0.599703956798518,0,0.800221946837376,100,100,-3.14,3.14,,,,,,,,
link5,-0.00935757510871427,-0.000463711111558351,0.108432060629465,0,0,0,0.921529845623198,0.00112283111939906,-1.35455417019885E-05,0.000110171758385526,0.00139920024136962,5.37884270265833E-06,0.00130723220032857,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link5.STL,,Motor6-1,Coordinate System28,Axis21,link5J,revolute,-0.44586758628649,0.127581802357824,0.334142992154841,2.61866703692973,0.624355966000279,-0.278695793511431,link4,0,0,-1,100,100,-3.14,3.14,,,,,,,,
link6,0.00226074967095263,-0.00909213102532902,0.108431334897546,0,0,0,0.921540940780998,0.00138380959660478,6.48647334610227E-05,-2.65392524950653E-05,0.00113826187143618,0.000107065860656383,0.00130718444270685,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link6.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/link6.STL,,Motor7-1,Coordinate System29,Axis24,link6J,revolute,0,0,0.1157,-1.5707963267949,1.44784169852015,1.61998121806048,link5,0,0,-1,100,100,-3.14,3.14,,,,,,,,
endeffector,0.031392272485553,0.0308878521460962,0.136606569054224,0,0,0,0.201669718102086,0.000580895599864408,-0.000173087632451694,-4.46812249576809E-06,0.000616984340291669,-4.40709101163154E-06,0.000787359478209096,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/endeffector.STL,1,1,1,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/endeffector.STL,,Bracket-1;vaccum-1,Coordinate System30,Axis25,endeffectorJ,revolute,0,0,0.115699999999999,1.5707963267949,-0.670331391505515,0.243361241927746,link6,0,0,-1,100,100,-3.14,3.14,,,,,,,,
ef_camera,0.000209154959000257,-0.00192117508356715,-0.0182599292123931,0,0,0,0.0191475448793281,7.58321502227667E-06,-8.27882198312831E-07,2.96383842398273E-09,1.50975264471533E-05,-2.72240857166775E-08,1.58763522640746E-05,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/ef_camera.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/ef_camera.STL,,ef_camera-1,Coordinate System31,Axis25,ef_cameraJ,fixed,-0.0531319379241199,0.0839300135376235,0.142200000000004,-1.57079632679489,1.46235516195487,-0.813969049196102,endeffector,0,0,0,,,,,,,,,,,,
lidar,2.22044604925031E-16,0,0.0630636454812754,0,0,0,0.124100201144077,0.000589494704576671,-8.99114749749214E-35,1.3682084570574E-19,0.000589494704576671,3.42032018476106E-35,0.000441360873360877,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/lidar.STL,0.388235294117647,0.4,0.858823529411765,0.3,0,0,0,0,0,0,package://ADSAssemb_v12_lightweight/meshes/lidar.STL,,Lidarrobot-1,Origin_lidarJ,Axis_lidarJ,lidarJ,fixed,0.909835358922286,-0.000112443156507186,0.895,0,0,0,base_link,0,0,0,,,,,,,,,,,,
